fig	hash	detector	severity	detail
rejonowy_2024_dolnoslaskie_q8_fig1.png	7c865f65	stranded-label	high	'6' 57px outside touching the figure image
rejonowy_2024_dolnoslaskie_q8_fig1.png	7c865f65	stranded-label	high	'3' 34px outside touching the figure image
rejonowy_2024_lodzkie_q4_fig1.png	80b56686	stranded-label	high	'2 x -1' 43px outside touching the figure image
rejonowy_2024_opolskie_q9_fig1.png	e31efcde	stranded-label	high	'3' 90px outside touching the figure image
rejonowy_2025_lodzkie_q1_fig1.png	d3431f5d	stranded-label	high	'4 π' 78px outside touching the figure image
rejonowy_2025_podkarpackie_q9_fig1.png	3aa10394	stranded-label	high	',' 8px outside touching the figure image
szkolny_2013-2014_malopolskie_q6_fig1.png	4eb8fe96	stranded-label	high	'str. 3/8' 71px outside touching the figure image
szkolny_2015_podlaskie_sp_q2_fig1.png	dd737740	stranded-label	high	'C.91°' 5px outside touching the figure image
szkolny_2016-2017_malopolskie_q2_fig1.png	9641f50d	stranded-label	high	'\uf0b0' 42px outside touching the figure image
szkolny_2016-2017_malopolskie_q2_fig1.png	9641f50d	stranded-label	high	'34' 37px outside touching the figure image
szkolny_2016-2017_malopolskie_q2_fig1.png	9641f50d	stranded-label	high	'\uf0b0' 37px outside touching the figure image
szkolny_2016-2017_malopolskie_q2_fig1.png	9641f50d	stranded-label	high	'100' 41px outside touching the figure image
szkolny_2016-2017_malopolskie_q2_fig1.png	9641f50d	stranded-label	high	'\uf0b0' 37px outside touching the figure image
szkolny_2016-2017_malopolskie_q2_fig1.png	9641f50d	stranded-label	high	'80' 41px outside touching the figure image
szkolny_2017-2018_malopolskie_q5_fig1.png	9d70e737	stranded-label	high	'\uf0b0' 67px outside touching the figure image
szkolny_2017-2018_malopolskie_q5_fig1.png	9d70e737	stranded-label	high	'120' 71px outside touching the figure image
szkolny_2017-2018_malopolskie_q5_fig1.png	9d70e737	stranded-label	high	'\uf0b0' 67px outside touching the figure image
szkolny_2017-2018_malopolskie_q5_fig1.png	9d70e737	stranded-label	high	'100' 71px outside touching the figure image
szkolny_2017-2018_malopolskie_q5_fig1.png	9d70e737	stranded-label	high	'\uf0b0' 67px outside touching the figure image
szkolny_2017-2018_malopolskie_q5_fig1.png	9d70e737	stranded-label	high	'80' 71px outside touching the figure image
szkolny_2018-2019_zachodniopomorskie_q2_fig1.png	368855a8	stranded-label	high	'E. 1' 3px outside touching the figure image
szkolny_2018_podlaskie_q4_fig1.png	4721339e	stranded-label	high	'𝑥' 95px outside touching the figure image
szkolny_2020-2021_pomorskie_q1_fig1.png	c1e769fd	stranded-label	high	'°' 37px outside touching the figure image
szkolny_2021_podkarpackie_q16_fig1.png	f8864577	stranded-label	high	'E. 242 cm2' 34px outside touching the figure image
szkolny_2024-2025_swietokrzyskie_q8_fig1.png	10ea92ed	stranded-label	high	'P' 85px outside touching the figure image
szkolny_2024-2025_swietokrzyskie_q8_fig1.png	10ea92ed	stranded-label	high	'F' 85px outside touching the figure image
szkolny_2024_dolnoslaskie_q3_fig1.png	365f192f	stranded-label	high	'𝒂' 19px outside touching the figure image
szkolny_2024_dolnoslaskie_q3_fig1.png	365f192f	stranded-label	high	'𝒂+𝒂' 53px outside touching the figure image
szkolny_2024_dolnoslaskie_q3_fig1.png	365f192f	stranded-label	high	'𝒂+𝒂+𝒂·' 57px outside touching the figure image
szkolny_2024_dolnoslaskie_q3_fig1.png	365f192f	stranded-label	high	'𝒂' 40px outside touching the figure image
szkolny_2024_dolnoslaskie_q3_fig1.png	365f192f	stranded-label	high	'𝒂+𝒂' 79px outside touching the figure image
szkolny_2025_dolnoslaskie_q12_fig1.png	d6fd39c2	stranded-label	high	'3' 83px outside touching the figure image
szkolny_2025_dolnoslaskie_q8_fig1.png	523474e4	stranded-label	high	'𝟏' 6px outside touching the figure image
szkolny_2025_dolnoslaskie_q8_fig1.png	523474e4	stranded-label	high	'𝒙−𝟎,𝟓 dla tej' 32px outside touching the figure image
szkolny_2025_podlaskie_q11_fig1.png	005b6ab7	stranded-label	high	'Odpowiedź: _________________________________________________________________' 81px outside touching the figure image
szkolny_2026_kujawsko-pomorskie_q16_fig1.png	b9238e6c	stranded-label	high	'P' 21px outside touching the figure image
szkolny_2026_kujawsko-pomorskie_q16_fig1.png	b9238e6c	stranded-label	high	'F' 21px outside touching the figure image
szkolny_2026_kujawsko-pomorskie_q16_fig1.png	b9238e6c	stranded-label	high	'P' 86px outside touching the figure image
szkolny_2026_kujawsko-pomorskie_q16_fig1.png	b9238e6c	stranded-label	high	'F' 86px outside touching the figure image
szkolny_2026_kujawsko-pomorskie_q17_fig1.png	491b9364	stranded-label	high	'P' 9px outside touching the figure image
szkolny_2026_kujawsko-pomorskie_q17_fig1.png	491b9364	stranded-label	high	'F' 9px outside touching the figure image
szkolny_2026_kujawsko-pomorskie_q17_fig1.png	491b9364	stranded-label	high	'P' 71px outside touching the figure image
szkolny_2026_kujawsko-pomorskie_q17_fig1.png	491b9364	stranded-label	high	'F' 71px outside touching the figure image
szkolny_2026_lubelskie_q15_fig1.png	62cfd5ed	stranded-label	high	'Kąt ∝ma miarę………………………………………………stopni.' 76px outside touching the figure image
szkolny_2026_podkarpackie_q8_fig1.png	e5db2a48	stranded-label	high	'mają' 25px outside touching the figure image
wojewodzki_2011-2012_warminsko-mazurskie_q5_fig1.png	69902157	stranded-label	high	'równy?' 1px outside touching the figure image
wojewodzki_2014-2015_malopolskie_q7_fig1.png	e2d1d201	stranded-label	high	'\uf062' 96px outside touching the figure image
wojewodzki_2014-2015_malopolskie_q7_fig1.png	e2d1d201	stranded-label	high	'\uf061\uf03d' 96px outside touching the figure image
wojewodzki_2014-2015_malopolskie_q7_fig1.png	e2d1d201	stranded-label	high	'\uf062' 97px outside touching the figure image
wojewodzki_2014-2015_malopolskie_q7_fig1.png	e2d1d201	stranded-label	high	'\uf061' 97px outside touching the figure image
wojewodzki_2014-2015_malopolskie_q7_fig1.png	e2d1d201	stranded-label	high	'3' 81px outside touching the figure image
wojewodzki_2014-2015_malopolskie_q7_fig1.png	e2d1d201	stranded-label	high	'\uf03d' 97px outside touching the figure image
wojewodzki_2016-2017_slaskie_q15_fig1.png	ea50dbd3	stranded-label	high	'I.' 38px outside touching the figure image
wojewodzki_2018-2019_zachodniopomorskie_q17_fig1.png	574842ba	stranded-label	high	'CE' 26px outside touching the figure image
wojewodzki_2018-2019_zachodniopomorskie_q17_fig1.png	574842ba	stranded-label	high	'AE \uf03d' 22px outside touching the figure image
wojewodzki_2018-2019_zachodniopomorskie_q17_fig1.png	574842ba	stranded-label	high	'oraz' 26px outside touching the figure image
wojewodzki_2019_lubuskie_q14_fig1.png	2f63dbdf	stranded-label	high	'd) 3,2·10 m3' 78px outside touching the figure image
wojewodzki_2019_podkarpackie_q10_fig1.png	8e9f6ae3	stranded-label	high	'Wskaż zdanie fałszywe.' 0px outside touching the figure image
wojewodzki_2020-2021_swietokrzyskie_q15_fig1.png	03a4b764	stranded-label	high	'oraz EH=' 61px outside touching the figure image
wojewodzki_2020_podlaskie_q9_fig1.png	ce44b5a7	stranded-label	high	'5' 97px outside touching the figure image
wojewodzki_2020_podlaskie_q9_fig1.png	ce44b5a7	stranded-label	high	'1' 97px outside touching the figure image
wojewodzki_2021_lubuskie_q14_fig1.png	11b6851c	stranded-label	high	'2' 95px outside touching the figure image
wojewodzki_2021_lubuskie_q17_fig1.png	441226fc	stranded-label	high	'1' 25px outside touching the figure image
wojewodzki_2021_lubuskie_q19_fig1.png	90bbba67	stranded-label	high	'√3  jest równy' 20px outside touching the figure image
wojewodzki_2021_podlaskie_q9_fig1.png	84cdc834	stranded-label	high	'3 𝑘2𝐻' 0px outside touching the figure image
wojewodzki_2022-2023_malopolskie_q6_fig1.png	3919759f	stranded-label	high	'2' 62px outside touching the figure image
wojewodzki_2023-2024_malopolskie_q10_fig1.png	a43139ce	stranded-label	high	'E. 24' 30px outside touching the figure image
wojewodzki_2023-2024_wielkopolskie_q14_fig1.png	975b707c	stranded-label	high	'9' 16px outside touching the figure image
wojewodzki_2023-2024_wielkopolskie_q14_fig1.png	975b707c	stranded-label	high	'π' 35px outside touching the figure image
wojewodzki_2023_kujawsko-pomorskie_q5_fig1.png	429923a1	stranded-label	high	'h.' 94px outside touching the figure image
wojewodzki_2024-2025_malopolskie_q14_fig1.png	0b6e61ad	stranded-label	high	'Odpowiedź: ………………………..' 89px outside touching the figure image
wojewodzki_2024-2025_slaskie_q13_fig1.png	ab298853	stranded-label	high	'I.' 94px outside touching the figure image
wojewodzki_2024_opolskie_q11_fig1.png	24966472	stranded-label	high	'Powodzenia!' 93px outside touching the figure image
wojewodzki_2025_podkarpackie_q7_fig1.png	43453553	stranded-label	high	'ma' 0px outside touching the figure image
wojewodzki_2025_podkarpackie_q7_fig1.png	43453553	stranded-label	high	'AB CD' 7px outside touching the figure image
wojewodzki_2026_mazowieckie_q2_fig1.png	803a9d40	stranded-label	high	'P' 89px outside touching the figure image
wojewodzki_2026_mazowieckie_q2_fig1.png	803a9d40	stranded-label	high	'F' 89px outside touching the figure image
wojewodzki_2026_podkarpackie_q1_fig1.png	4f4d4a34	stranded-label	high	'167' 0px outside touching the figure image
wojewodzki_2026_podkarpackie_q1_fig1.png	4f4d4a34	stranded-label	high	'Miejsce na odpowiedź:' 60px outside touching the figure image
rejonowy_2010_podkarpackie_gim_q7_fig1.png	8b278cd8	image-clipped	med	126px edge sliver outside the box
rejonowy_2020-2021_slaskie_q6_fig1.png	3bd325d2	image-clipped	med	76px edge sliver outside the box
szkolny_2015_podlaskie_gim_q18_fig1.png	cc9e5cd8	image-clipped	med	72px edge sliver outside the box
szkolny_2025-2026_pomorskie_q10_fig1.png	80d6ed38	image-clipped	med	35px edge sliver outside the box
szkolny_2025_podlaskie_q11_fig1.png	005b6ab7	image-clipped	med	192px edge sliver outside the box
wojewodzki_2017-2018_pomorskie_q5_fig1.png	abd2da1a	image-clipped	med	176px edge sliver outside the box
wojewodzki_2017-2018_pomorskie_q8_fig1.png	d3443909	image-clipped	med	121px edge sliver outside the box
wojewodzki_2019_lubuskie_q19_fig1.png	8379963a	image-clipped	med	69px edge sliver outside the box
wojewodzki_2020_kujawsko-pomorskie_q5_fig1.png	37a0d3d6	image-clipped	med	110px edge sliver outside the box
wojewodzki_2020_podlaskie_q23_fig1.png	b3c3387d	image-clipped	med	33px edge sliver outside the box
wojewodzki_2020_podlaskie_q26_fig1.png	d6374c58	image-clipped	med	54px edge sliver outside the box
wojewodzki_2021-2022_malopolskie_q16_fig1.png	7bc3806f	image-clipped	med	76px edge sliver outside the box
wojewodzki_2022-2023_malopolskie_q6_fig1.png	3919759f	image-clipped	med	48px edge sliver outside the box
wojewodzki_2022_lubuskie_q17_fig1.png	0965843e	image-clipped	med	96px edge sliver outside the box
wojewodzki_2023_podlaskie_q14_fig1.png	a0658fc3	image-clipped	med	46px edge sliver outside the box
rejonowy_2010_podkarpackie_gim_q1_fig1.png	425fcbf9	prose-inside	med	'X = X4 ,'
rejonowy_2010_podkarpackie_gim_q1_fig1.png	425fcbf9	prose-inside	med	'y = x + y'
rejonowy_2011-2012_slaskie_q14_fig1.png	bd02f905	prose-inside	med	'1                  2                             3          '
rejonowy_2012-2013_malopolskie_q4_fig1.png	19f19977	prose-inside	med	'matematyka'
rejonowy_2012-2013_malopolskie_q4_fig1.png	19f19977	prose-inside	med	'język polski'
rejonowy_2012-2013_malopolskie_q4_fig1.png	19f19977	prose-inside	med	'przyroda'
rejonowy_2020-2021_pomorskie_q6_fig1.png	2878c143	prose-inside	med	'Pojemnik nr 2'
rejonowy_2020-2021_slaskie_q2_fig1.png	ab4e4f28	prose-inside	med	'Wyniki tego samego badania może przedstawiać także wykres:'
rejonowy_2020_dolnoslaskie_q12_fig1.png	f31c3466	prose-inside	med	'8 * 7 *'
rejonowy_2020_dolnoslaskie_q12_fig1.png	f31c3466	prose-inside	med	'+ 9 * 9'
rejonowy_2020_dolnoslaskie_q12_fig1.png	f31c3466	prose-inside	med	'* 7 * * *'
rejonowy_2020_podkarpackie_q9_fig1.png	3194e011	prose-inside	med	'Kwadrat 1.                     Kwadrat 2.                   '
rejonowy_2021_lodzkie_q4_fig1.png	c6dd7735	prose-inside	med	'A                          B           C                    '
rejonowy_2024_dolnoslaskie_q14_fig1.png	5dca7891	prose-inside	med	'liczba b'
rejonowy_2025-2026_pomorskie_q8_fig1.png	daed5883	prose-inside	med	'Stefan Banach'
rejonowy_2025-2026_pomorskie_q8_fig1.png	daed5883	prose-inside	med	'Zofia Krygows'
szkolny_2019_podkarpackie_q16_fig1.png	79280828	prose-inside	med	'Figura 1.                    Figura 2.                      '
szkolny_2021_dolnoslaskie_q14_fig1.png	d8c4acc4	prose-inside	med	'Rysunek 1.'
szkolny_2023_lodzkie_q12_fig1.png	18d97a5b	prose-inside	med	'8a - 25 osób'
szkolny_2023_lodzkie_q12_fig1.png	18d97a5b	prose-inside	med	'siatkówka'
szkolny_2023_lodzkie_q12_fig1.png	18d97a5b	prose-inside	med	'piłka nożna'
szkolny_2025_dolnoslaskie_q10_fig1.png	61b8f9df	prose-inside	med	'z = 21 cm'
szkolny_2025_dolnoslaskie_q10_fig1.png	61b8f9df	prose-inside	med	'y = 39 cm'
szkolny_2025_dolnoslaskie_q14_fig1.png	e3dc2b8a	prose-inside	med	'B 9 A 7'
szkolny_2025_dolnoslaskie_q14_fig1.png	e3dc2b8a	prose-inside	med	'D C 6 2'
wojewodzki_2011_podkarpackie_q21_fig1.png	3e1489ad	prose-inside	med	'skład procentowy powietrza'
wojewodzki_2011_podkarpackie_q21_fig1.png	3e1489ad	prose-inside	med	'inne gazy'
wojewodzki_2011_podkarpackie_q5_fig1.png	c44f590e	prose-inside	med	'znaczki polskie'
